FIEC06460,HERRAMIENTAS DE COLABORACIÓN DIGITAL
FIEC04341,FUNDAMENTOS DE PROGRAMACIÓN
FIEC06411,COMPUTACIÓN Y SOCIEDAD
FIEC04622,PROGRAMACIÓN ORIENTADA A OBJETOS
FIEC01735,ANÁLISIS DE REDES ELÉCTRICAS I 
FIEC03012,ESTRUCTURAS DE DATOS
FIEC01552,LENGUAJES DE PROGRAMACIÓN
FIEC04366,ANÁLISIS DE ALGORITMOS
FIEC00299,SISTEMAS DIGITALES I
FIEC04705,REDES DE COMPUTADORES
FIEC05553,SISTEMAS DE BASES DE DATOS I 
FIEC06437,MÉTODOS DE LA INVESTIGACIÓN APLICADOS A LA COMPUTACIÓN
FIEC03319,ORGANIZACIÓN Y ARQUITECTURA DE COMPUTADORES
FIEC03046,INGENIERÍA DE SOFTWARE I
FIEC05884,DESARROLLO DE APLICACIONES WEB
FIEC02097,SISTEMAS OPERATIVOS
FIEC03053,INGENIERÍA DE SOFTWARE II
FIEC01545,INTERACCIÓN HOMBRE-MÁQUINA 
FIEC03459,INTELIGENCIA ARTIFICIAL
FIEC05306,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS INFORMÁTICOS