FIEC05975,ADMINISTRACIÓN DEL NEGOCIO DE LA ENERGÍA ELÉCTRICA
FIEC05959,ANÁLISIS DE MERCADOS ELÉCTRICOS COMPETITIVOS
FIEC05967,CALIDAD DE LA ENERGÍA Y ANÁLISIS ARMÓNICOS
FIEC00703,CENTRALES ELÉCTRICAS
FIEC05520,CONFIABILIDAD DE LOS SISTEMAS DE POTENCIA
FIEC05512,CONTROL DE SISTEMAS DE POTENCIA
FIEC00273,CONTROLES INDUSTRIALES ELÉCTRICOS
FIEC05926,DISEÑO DE SISTEMAS ELÉCTRICOS BASADOS EN COMPUTADORA
FIEC03269,DISTRIBUCIÓN ELÉCTRICA I
FIEC03285,DISTRIBUCIÓN ELÉCTRICA II
FIEC03129,ELECTRÓNICA DE POTENCIA I
FIEC00646,ILUMINACIÓN E INSTALACIONES ELÉCTRICAS
FIEC00281,LABORATORIO DE CONTROLES INDUSTRIALES ELÉCTRICOS
FIEC03251,LABORATORIO DE MAQUINARIA ELÉCTRICA
FIEC01503,LABORATORIO DE SISTEMAS DE POTENCIA
FIEC01768,LÍNEAS DE TRANSMISIÓN Y SUBESTACIONES
FIEC00133,MAQUINARIA ELÉCTRICA I
FIEC00166,MAQUINARIA ELÉCTRICA II
FIEC05942,MEDICIÓN DE MAGNITUDES ELÉCTRICAS EN SISTEMAS DE POTENCIA
FIEC05934,OPERACIÓN DE SISTEMAS DE POTENCIA
FIEC00786,OPERACIÓN ECONÓMICA DE SISTEMAS DE POTENCIA
FIEC03483,PLANIFICACIÓN DE SISTEMAS ELÉCTRICOS
FIEC01693,PROTECCIONES ELÉCTRICAS
FIEC00158,SISTEMAS DE POTENCIA I
FIEC01495,SISTEMAS DE POTENCIA II
FIEC01610,SISTEMAS DE POTENCIA III 
FIEC00828,TRANSIENTES
FIEC01735,ANÁLISIS DE REDES ELÉCTRICAS I 
FIEC01784,ANÁLISIS DE REDES ELÉCTRICAS II
FIEC03418,CONTROL AUTOMÁTICO
FIEC01537,CONSTRUCCIONES ELECTRÓNICAS
FIEC00075,ELECTRÓNICA I
FIEC01099,LABORATORIO DE ELECTRÓNICA A
FIEC01800,LABORATORIO DE REDES ELÉCTRICAS
FIEC00299,SISTEMAS DIGITALES I
FIEC03426,TEORÍA ELECTROMAGNÉTICA I