FIEC00380,ANTENAS
FIEC04952,COMUNICACIONES ANALOGICAS
FIEC04960,COMUNICACIONES DIGITALES
FIEC04408,COMUNICACIONES INALAMBRICAS
FIEC04994,COMUNICACIONES OPTICAS
FIEC03194,COMUNICACIONES SATELITALES 
FIEC01537,CONSTRUCCIONES ELECTRONICAS
FIEC07021,DISENO E IMPLEMENTACION DE APLICACIONES SS7 DE UNA RED CELULAR
FIEC00885,ELECTRONICA MEDICA
FIEC03012,ESTRUCTURAS DE DATOS
FIEC07047,FUENTE DE ALIMENTACION CONMUTADAS
FIEC04341,FUNDAMENTOS DE PROGRAMACION 
FIEC05579,FUNDAMENTOS DE ROBOTICA
FIEC07005,INSTRUMENTACION CLINICA Y TELEMEDICINA
FIEC05009,LABORATORIO DE TELECOMUNICACIONES
FIEC05348,MARCO REGULATORIO DE LAS TELECOMUNICACIONES
FIEC03236,PROBABILIDADES Y PROCESOS ESTOCASTICOS
FIEC06015,PROBLEMAS ESPECIALES DE INGENIERIA EN TELECOMUNICACIONES
FIEC04622,PROGRAMACION ORIENTADA A OBJETOS
FIEC00729,PROPAGACION
FIEC06973,PROYECTOS DE TELEVISION
FIEC04978,REDES DE DATOS I
FIEC05041,REDES DE DATOS II
FIEC05058,SISTEMAS LINEALES
FIEC04986,TELEFONIA DIGITAL
FIEC00869,TELEVISION
FIEC06924,USO EFICIENTE DEL ESPECTRO 
FIEC01735,ANALISIS DE REDES ELECTRICAS I
FIEC01784,ANALISIS DE REDES ELECTRICAS II
FIEC03418,CONTROL AUTOMATICO 
FIEC01537,CONSTRUCCIONES ELECTRONICAS 
FIEC00075,ELECTRONICA I
FIEC00190,ELECTRONICA II
FIEC01388,ELECTRONICA III 
FIEC01099,LABORATORIO DE ELECTRONICA A 
FIEC01347,LABORATORIO DE ELECTRONICA B
FIEC01800,LABORATORIO DE REDES ELECTRICAS
FIEC00679,LABORATORIO DE SISTEMAS DIGITALES
FIEC05561,MICROCONTROLADORES
FIEC00760,MICROPROCESADORES
FIEC00299,SISTEMAS DIGITALES I
FIEC00745,SISTEMAS DIGITALES II
FIEC03426,TEORIA ELECTROMAGNETICA I
FIEC03442,TEORIA ELECTROMAGNETICA II