FIEC04952,COMUNICACIONES ANALÓGICAS
FIEC04960,COMUNICACIONES DIGITALES
FIEC05603,CONMUTACIÓN Y ENRUTAMIENTO I
FIEC05611,CONMUTACIÓN Y ENRUTAMIENTO II 
FIEC03418,CONTROL AUTOMÁTICO
FIEC03012,ESTRUCTURAS DE DATOS
FIEC05637,FUNDAMENTOS DE LINUX 
FIEC04341,FUNDAMENTOS DE PROGRAMACIÓN
FIEC05645,FUNDAMENTOS DE REDES DE DATOS
FIEC05983,FUNDAMENTOS DE SEGURIDAD DE REDES: ROUTERS
FIEC04978,REDES DE DATOS I
FIEC03236,PROBABILIDADES Y PROCESOS ESTOCÁSTICOS
FIEC04622,PROGRAMACIÓN ORIENTADA A OBJETOS
FIEC05553,SISTEMAS DE BASES DE DATOS I 
FIEC05355,SISTEMAS DE BASES DE DATOS II
FIEC05546,SISTEMAS DISTRIBUIDOS
FIEC05652,SISTEMAS OPERATIVOS DE RED
FIEC05058,SISTEMAS LINEALES
FIEC05660,SOFTWARE Y HARDWARE DEL PC
FIEC05678,TECNOLOGÍAS DE REDES WA
FIEC05785,PROGRAMACIÓN DE SISTEMAS TELEMÁTICOS I
FIEC01735,ANÁLISIS DE REDES ELÉCTRICAS I
FIEC01784,ANALISIS DE REDES ELECTRICAS II
FIEC00075,ELECTRÓNICA I 
FIEC00190,ELECTRÓNICA II
FIEC01099,LABORATORIO DE ELECTRÓNICA A 
FIEC01800,LABORATORIO DE REDES ELÉCTRICAS
FIEC00679,LABORATORIO DE SISTEMAS DIGITALES
FIEC05561,MICROCONTROLADORES
FIEC00760,MICROPROCESADORES
FIEC00299,SISTEMAS DIGITALES I
FIEC00745,SISTEMAS DIGITALES II
FIEC03426,TEORÍA ELECTROMAGNÉTICA I
FIEC03442,TEORIA ELECTROMAGNETICA II 