,FIEC06460,FIEC04341,FIEC06411,FIEC04622,FIEC01735,FIEC03012,FIEC01552,FIEC04366,FIEC00299,FIEC04705,FIEC05553,FIEC06437,FIEC03319,FIEC03046,FIEC05884,FIEC02097,FIEC03053,FIEC01545,FIEC03459,FIEC05306
FIEC06460,,,,,,,,,,,,,,,,,,,,
FIEC04341,1,,,,,,,,,,,,,,,,,,,
FIEC06411,,,,,,,,,,,,,,,,,,,,
FIEC04622,,1,,,,,,,,,,,,,,,,,,
FIEC01735,,,,,,,,,,,,,,,,,,,,
FIEC03012,,1,,,,,,,,,,,,,,,,,,
FIEC01552,,1,,,,,,,,,,,,,,,,,,
FIEC04366,,,,,,1,,,,,,,,,,,,,,
FIEC00299,,,,,1,,,,,,,,,,,,,,,
FIEC04705,,,,1,,,,,,,,,,,,,,,,
FIEC05553,,,,1,,,,,,,,,,,,,,,,
FIEC06437,,,,,,,,,,,,,,,,,,,,
FIEC03319,,,,,,,,,1,,,,,,,,,,,
FIEC03046,,,,,,,,,,,1,,,,,,,,,
FIEC05884,,,,,,,,,,,1,,,,,,,,,
FIEC02097,,,,,,,,,,,,,1,,,,,,,
FIEC03053,,,,,,,,,,,,,,1,,,,,,
FIEC01545,,,,,,,,,,,,,,1,,,,,,
FIEC03459,,,,,,,1,,,,,1,,,,,,,,
FIEC05306,,,,,,,,,,,,,,,,,,,,